1293868800864,319248,1,flickr.com,12
1293868801728,625828,1,npr.org,19
1293868802592,522177,2,wikipedia.org,16
1293868803456,535052,2,cnn.com,20
1293868804320,287430,2,sfgate.com,2
1293868805184,616809,2,sfgate.com,1
1293868806048,704032,1,nytimes.com,7
1293868806912,631825,2,amazon.com,11
1293868807776,610228,2,npr.org,6
1293868808640,454108,2,twitter.com,18
1293868809504,723726,1,foxnews.com,9
1293868810368,777690,2,cnn.com,2
1293868811232,441293,2,nytimes.com,3
1293868812096,938131,1,bbc.co.uk,18
1293868812960,931279,1,flickr.com,1
1293868813824,651914,1,yahoo.com,20
1293868814688,101535,2,facebook.com,5
1293868815552,909907,1,facebook.com,3
1293868816416,154380,2,amazon.com,1
1293868817280,718757,2,npr.org,13
